SessionID,Step,Loss,TDError,AvgQValue
session_20250326_204905,0,,,-3.836044
session_20250326_204905,1,,,-3.172862
session_20250326_204905,2,,,-4.414009
session_20250326_204905,3,,,-4.268503
session_20250326_204905,4,,,-5.374341
session_20250326_204905,5,,,-3.077735
session_20250326_204905,6,,,-1.674865
session_20250326_204905,7,,,-2.441921
session_20250326_204905,8,,,-4.14647
session_20250326_204905,9,,,-5.859145
session_20250326_204905,10,,,-5.683478
session_20250326_204905,11,,,-6.577393
session_20250326_204905,12,,,-3.578823
session_20250326_204905,13,,,-4.943408
session_20250326_204905,14,,,-7.149358
session_20250326_204905,15,,,-5.133289
session_20250326_204905,16,,,-8.831088
session_20250326_204905,17,,,-9.778912
session_20250326_204905,18,,,-9.841699
session_20250326_204905,19,,,-3.836044
session_20250326_204905,20,,,-3.172862
session_20250326_204905,21,,,-4.414009
session_20250326_204905,22,,,-3.385987
session_20250326_204905,23,,,-5.014244
session_20250326_204905,24,,,-6.197246
session_20250326_204905,25,,,-1.400418
session_20250326_204905,26,,,-0.83937
session_20250326_204905,27,,,-3.273015
session_20250326_204905,28,,,0.2842542
session_20250326_204905,29,,,-2.880297
session_20250326_204905,30,,,-5.927317
session_20250326_204905,31,,,-7.962338
session_20250326_204905,32,,,-3.797235
session_20250326_204905,33,,,-4.708868
session_20250326_204905,34,,,-7.887725
session_20250326_204905,35,,,-6.38783
session_20250326_204905,36,,,-8.045104
session_20250326_204905,37,,,-7.525508
session_20250326_204905,38,,,-8.366176
session_20250326_204905,39,,,-3.836044
session_20250326_204905,40,,,-3.172862
session_20250326_204905,41,,,-4.414009
session_20250326_204905,42,,,-3.385987
session_20250326_204905,43,,,-5.014244
session_20250326_204905,44,,,-2.070487
session_20250326_204905,45,,,-3.931532
session_20250326_204905,46,,,-5.62641
session_20250326_204905,47,,,-7.304279
session_20250326_204905,48,,,-6.201909
session_20250326_204905,49,,,-5.414109
session_20250326_204905,50,,,-3.980576
session_20250326_204905,51,,,-7.953575
session_20250326_204905,52,,,-4.836973
session_20250326_204905,53,,,-3.836044
session_20250326_204905,54,,,-3.172862
session_20250326_204905,55,,,-4.414009
session_20250326_204905,56,,,-3.385987
session_20250326_204905,57,,,-5.014244
session_20250326_204905,58,,,-3.121537
session_20250326_204905,59,,,-3.53265
session_20250326_204905,60,,,-1.556033
session_20250326_204905,61,,,-6.018318
session_20250326_204905,62,,,-6.321553
session_20250326_204905,63,,,-4.401293
session_20250326_204905,64,,,-9.632738
session_20250326_204905,65,,,-6.010216
session_20250326_204905,66,,,-2.48682
session_20250326_204905,67,,,-6.071707
session_20250326_204905,68,,,-10.22801
session_20250326_204905,69,,,-3.836044
session_20250326_204905,70,,,-3.172862
session_20250326_204905,71,,,-4.414009
session_20250326_204905,72,,,-2.28847
session_20250326_204905,73,,,-1.89725
session_20250326_204905,74,,,-3.285282
session_20250326_204905,75,,,2.00806
session_20250326_204905,76,,,-5.294706
session_20250326_204905,77,,,-4.612319
session_20250326_204905,78,,,-5.4247
session_20250326_204905,79,,,-7.250199
session_20250326_204905,80,,,-8.804723
session_20250326_204905,81,,,-9.799342
session_20250326_204905,82,,,-11.67223
session_20250326_204905,83,,,-3.836044
session_20250326_204905,84,,,-3.172862
session_20250326_204905,85,,,-4.414009
session_20250326_204905,86,,,-3.385987
session_20250326_204905,87,,,-5.014244
session_20250326_204905,88,,,-2.224511
session_20250326_204905,89,,,-2.018689
session_20250326_204905,90,,,-1.948633
session_20250326_204905,91,,,0.7864478
session_20250326_204905,92,,,-6.319367
session_20250326_204905,93,,,-3.156149
session_20250326_204905,94,,,-5.7401
session_20250326_204905,95,,,-0.4815799
session_20250326_204905,96,,,-3.56984
session_20250326_204905,97,,,-4.536861
session_20250326_204905,98,,,-5.072521
session_20250326_204905,99,,,-4.597733
session_20250326_204905,100,,,-5.251962
session_20250326_204905,101,,,-4.555553
session_20250326_204905,102,,,-5.727105
session_20250326_204905,103,,,-6.959954
session_20250326_204905,104,,,-9.144522
session_20250326_204905,105,,,-12.81183
session_20250326_204905,106,,,-10.70698
session_20250326_204905,107,,,-3.836044
session_20250326_204905,108,,,-3.172862
session_20250326_204905,109,,,-4.414009
session_20250326_204905,110,,,-3.385987
session_20250326_204905,111,,,-5.014244
session_20250326_204905,112,,,-3.405037
session_20250326_204905,113,,,-4.473282
session_20250326_204905,114,,,-3.611614
session_20250326_204905,115,,,-4.768404
session_20250326_204905,116,,,-8.458308
session_20250326_204905,117,,,-6.580401
session_20250326_204905,118,,,-6.923207
session_20250326_204905,119,,,-8.202565
session_20250326_204905,120,,,-9.461717
session_20250326_204905,121,,,-9.490747
session_20250326_204905,122,,,-11.17857
session_20250326_204905,123,,,-9.250723
session_20250326_204905,124,,,-10.51689
session_20250326_204905,125,,,-14.66764
session_20250326_204905,126,,,-14.17833
session_20250326_204905,127,,,-3.836044
session_20250326_204905,128,,,-3.172862
session_20250326_204905,129,,,-5.014244
session_20250326_204905,130,,,-3.405037
session_20250326_204905,131,,,-5.236645
session_20250326_204905,132,,,-2.607283
session_20250326_204905,133,,,-3.067143
session_20250326_204905,134,,,-6.709191
session_20250326_204905,135,,,-5.385152
session_20250326_204905,136,,,-1.228149
session_20250326_204905,137,,,-6.71299
session_20250326_204905,138,,,-6.790214
session_20250326_204905,139,,,-9.448206
session_20250326_204905,140,,,-11.36874
session_20250326_204905,141,,,-13.05983
session_20250326_204905,142,,,-8.288209
session_20250326_204905,143,,,-11.33431
session_20250326_204905,144,,,-10.70696
session_20250326_204905,145,,,-3.836044
session_20250326_204905,146,,,-4.414009
session_20250326_204905,147,,,-3.385987
session_20250326_204905,148,,,-5.014244
session_20250326_204905,149,,,-3.584862
session_20250326_204905,150,,,-4.841495
session_20250326_204905,151,,,-3.010495
session_20250326_204905,152,,,-6.42857
session_20250326_204905,153,,,-4.747536
session_20250326_204905,154,,,-3.72465
session_20250326_204905,155,,,-3.890159
session_20250326_204905,156,,,-3.836044
session_20250326_204905,157,,,-3.172862
session_20250326_204905,158,,,-4.414009
session_20250326_204905,159,,,-3.385987
session_20250326_204905,160,,,-5.014244
session_20250326_204905,161,,,-3.538745
session_20250326_204905,162,,,-3.526465
session_20250326_204905,163,,,-5.954482
