SessionID,Game,Win,Turns
session_20250326_204905,0,1,20
session_20250326_204905,1,1,20
session_20250326_204905,2,1,16
session_20250326_204905,3,1,16
session_20250326_204905,4,1,16
session_20250326_204905,5,1,24
session_20250326_204905,6,1,20
session_20250326_204905,7,1,20
session_20250326_204905,8,1,16
session_20250326_204905,9,1,20
session_20250326_204905,10,0,21
session_20250326_204905,11,1,18
session_20250326_204905,12,1,21
session_20250326_204905,13,1,16
session_20250326_204905,14,0,21
session_20250326_204905,15,1,16
session_20250326_204905,16,1,16
session_20250326_204905,17,1,20
session_20250326_204905,18,1,20
session_20250326_204905,19,1,16
session_20250326_204905,20,1,16
session_20250326_204905,21,1,20
session_20250326_204905,22,1,16
session_20250326_204905,23,1,16
session_20250326_204905,24,1,20
session_20250326_204905,25,1,16
session_20250326_204905,26,0,21
session_20250326_204905,27,0,23
session_20250326_204905,28,1,19
session_20250326_204905,29,1,23
session_20250326_204905,30,1,16
session_20250326_204905,31,1,23
session_20250326_204905,32,1,23
session_20250326_204905,33,1,21
session_20250326_204905,34,1,18
session_20250326_204905,35,1,16
session_20250326_204905,36,1,16
session_20250326_204905,37,1,16
session_20250326_204905,38,1,20
session_20250326_204905,39,1,16
session_20250326_204905,40,1,16
session_20250326_204905,41,1,16
session_20250326_204905,42,1,23
session_20250326_204905,43,1,16
session_20250326_204905,44,1,16
session_20250326_204905,45,1,23
session_20250326_204905,46,1,16
session_20250326_204905,47,1,20
session_20250326_204905,48,1,22
session_20250326_204905,49,1,16
session_20250326_204905,50,1,16
session_20250326_204905,51,1,16
session_20250326_204905,52,1,20
session_20250326_204905,53,1,20
session_20250326_204905,54,1,16
session_20250326_204905,55,1,26
session_20250326_204905,56,1,23
session_20250326_204905,57,1,16
session_20250326_204905,58,1,16
session_20250326_204905,59,1,18
session_20250326_204905,60,1,18
session_20250326_204905,61,1,19
session_20250326_204905,62,1,21
session_20250326_204905,63,1,16
session_20250326_204905,64,1,20
session_20250326_204905,65,1,18
session_20250326_204905,66,1,19
session_20250326_204905,67,1,16
session_20250326_204905,68,1,16
session_20250326_204905,69,1,20
session_20250326_204905,70,1,16
session_20250326_204905,71,1,16
session_20250326_204905,72,1,20
session_20250326_204905,73,1,16
session_20250326_204905,74,1,18
session_20250326_204905,75,1,20
session_20250326_204905,76,1,21
session_20250326_204905,77,0,21
session_20250326_204905,78,1,24
session_20250326_204905,79,1,16
session_20250326_204905,80,1,17
session_20250326_204905,81,1,21
session_20250326_204905,82,1,16
session_20250326_204905,83,1,16
session_20250326_204905,84,1,23
session_20250326_204905,85,1,23
session_20250326_204905,86,0,21
session_20250326_204905,87,1,23
session_20250326_204905,88,1,20
session_20250326_204905,89,1,20
session_20250326_204905,90,1,16
session_20250326_204905,91,0,21
session_20250326_204905,92,1,20
session_20250326_204905,93,1,16
session_20250326_204905,94,1,22
session_20250326_204905,95,1,18
session_20250326_204905,96,1,23
session_20250326_204905,97,0,21
session_20250326_204905,98,1,16
session_20250326_204905,99,1,23
session_20250326_204905,100,1,29
session_20250326_204905,101,1,17
session_20250326_204905,102,1,16
session_20250326_204905,103,1,22
session_20250326_204905,104,1,23
session_20250326_204905,105,0,21
session_20250326_204905,106,1,16
session_20250326_204905,107,1,16
session_20250326_204905,108,1,16
session_20250326_204905,109,1,20
session_20250326_204905,110,1,20
session_20250326_204905,111,0,21
session_20250326_204905,112,1,21
session_20250326_204905,113,1,20
session_20250326_204905,114,0,21
session_20250326_204905,115,1,20
session_20250326_204905,116,1,24
session_20250326_204905,117,1,16
session_20250326_204905,118,1,16
session_20250326_204905,119,1,16
session_20250326_204905,120,1,16
session_20250326_204905,121,1,23
session_20250326_204905,122,1,16
session_20250326_204905,123,1,16
session_20250326_204905,124,1,20
session_20250326_204905,125,1,20
session_20250326_204905,126,1,16
session_20250326_204905,127,1,16
session_20250326_204905,128,1,20
session_20250326_204905,129,1,16
session_20250326_204905,130,1,19
session_20250326_204905,131,1,16
session_20250326_204905,132,1,16
session_20250326_204905,133,1,16
session_20250326_204905,134,1,20
session_20250326_204905,135,0,21
session_20250326_204905,136,1,16
session_20250326_204905,137,1,24
session_20250326_204905,138,1,20
session_20250326_204905,139,0,21
session_20250326_204905,140,1,17
session_20250326_204905,141,1,16
session_20250326_204905,142,1,17
session_20250326_204905,143,1,21
session_20250326_204905,144,1,22
