SessionID,Episode,Reward,CumulativeReward,ExplorationRate
session_20250326_204905,0,0,0,0.1
session_20250326_204905,1,196,196,0.1
session_20250326_204905,2,0,196,0.1
session_20250326_204905,3,201,397,0.1
session_20250326_204905,4,0,397,0.1
session_20250326_204905,5,0,397,0.1
session_20250326_204905,6,0,397,0.1
session_20250326_204905,7,0,397,0.1
session_20250326_204905,8,0,397,0.1
session_20250326_204905,9,0,397,0.0999
session_20250326_204905,10,0,397,0.0999
session_20250326_204905,11,0,397,0.0999
session_20250326_204905,12,267,664,0.09960061
session_20250326_204905,13,0,664,0.09960061
session_20250326_204905,14,0,664,0.09960061
session_20250326_204905,15,0,664,0.09960061
session_20250326_204905,16,0,664,0.09960061
session_20250326_204905,17,0,664,0.09960061
session_20250326_204905,18,0,664,0.09960061
session_20250326_204905,19,0,664,0.09960061
session_20250326_204905,20,0,0,0.1
session_20250326_204905,21,0,0,0.1
session_20250326_204905,22,0,0,0.1
session_20250326_204905,23,0,0,0.1
session_20250326_204905,24,0,0,0.1
session_20250326_204905,25,0,0,0.1
session_20250326_204905,26,0,0,0.1
session_20250326_204905,27,0,0,0.1
session_20250326_204905,28,0,0,0.1
session_20250326_204905,29,0,0,0.1
session_20250326_204905,30,0,0,0.1
session_20250326_204905,31,0,0,0.1
session_20250326_204905,32,0,0,0.1
session_20250326_204905,33,0,0,0.1
session_20250326_204905,34,0,0,0.1
session_20250326_204905,35,0,0,0.1
session_20250326_204905,36,262,262,0.1
session_20250326_204905,37,0,262,0.1
session_20250326_204905,38,0,262,0.1
session_20250326_204905,39,0,262,0.1
session_20250326_204905,40,0,0,0.1
session_20250326_204905,41,0,0,0.1
session_20250326_204905,42,0,0,0.1
session_20250326_204905,43,0,0,0.1
session_20250326_204905,44,0,0,0.1
session_20250326_204905,45,0,0,0.1
session_20250326_204905,46,0,0,0.1
session_20250326_204905,47,0,0,0.1
session_20250326_204905,48,0,0,0.1
session_20250326_204905,49,0,0,0.1
session_20250326_204905,50,0,0,0.1
session_20250326_204905,51,0,0,0.1
session_20250326_204905,52,0,0,0.1
session_20250326_204905,53,262,262,0.1
session_20250326_204905,54,0,262,0.1
session_20250326_204905,55,0,262,0.1
session_20250326_204905,56,0,0,0.1
session_20250326_204905,57,0,0,0.1
session_20250326_204905,58,196,196,0.1
session_20250326_204905,59,0,196,0.1
session_20250326_204905,60,0,196,0.1
session_20250326_204905,61,0,196,0.1
session_20250326_204905,62,0,196,0.1
session_20250326_204905,63,0,196,0.1
session_20250326_204905,64,0,196,0.1
session_20250326_204905,65,0,196,0.1
session_20250326_204905,66,0,196,0.1
session_20250326_204905,67,0,196,0.1
session_20250326_204905,68,0,196,0.1
session_20250326_204905,69,262,458,0.1
session_20250326_204905,70,0,458,0.1
session_20250326_204905,71,0,458,0.1
session_20250326_204905,72,196,196,0.1
session_20250326_204905,73,0,196,0.1
session_20250326_204905,74,196,392,0.1
session_20250326_204905,75,0,392,0.1
session_20250326_204905,76,0,392,0.1
session_20250326_204905,77,262,654,0.1
session_20250326_204905,78,0,654,0.1
session_20250326_204905,79,0,654,0.1
session_20250326_204905,80,0,654,0.1
session_20250326_204905,81,0,654,0.1
session_20250326_204905,82,0,654,0.1
session_20250326_204905,83,0,654,0.1
session_20250326_204905,84,0,654,0.1
session_20250326_204905,85,0,654,0.1
session_20250326_204905,86,0,654,0.1
session_20250326_204905,87,0,654,0.1
session_20250326_204905,88,0,0,0.1
session_20250326_204905,89,196,196,0.1
session_20250326_204905,90,0,196,0.1
session_20250326_204905,91,0,196,0.1
session_20250326_204905,92,262,458,0.1
session_20250326_204905,93,0,458,0.1
session_20250326_204905,94,0,458,0.1
session_20250326_204905,95,0,458,0.1
session_20250326_204905,96,0,458,0.1
session_20250326_204905,97,0,458,0.1
session_20250326_204905,98,0,458,0.1
session_20250326_204905,99,0,458,0.1
session_20250326_204905,100,0,458,0.1
session_20250326_204905,101,0,458,0.1
session_20250326_204905,102,0,458,0.1
session_20250326_204905,103,0,458,0.1
session_20250326_204905,104,0,458,0.1
session_20250326_204905,105,0,458,0.1
session_20250326_204905,106,0,458,0.1
session_20250326_204905,107,0,458,0.1
session_20250326_204905,108,0,458,0.1
session_20250326_204905,109,0,458,0.1
session_20250326_204905,110,0,458,0.1
session_20250326_204905,111,0,458,0.1
session_20250326_204905,112,0,0,0.1
session_20250326_204905,113,0,0,0.1
session_20250326_204905,114,0,0,0.1
session_20250326_204905,115,0,0,0.1
session_20250326_204905,116,0,0,0.1
session_20250326_204905,117,0,0,0.1
session_20250326_204905,118,0,0,0.1
session_20250326_204905,119,0,0,0.1
session_20250326_204905,120,0,0,0.1
session_20250326_204905,121,0,0,0.1
session_20250326_204905,122,0,0,0.1
session_20250326_204905,123,262,262,0.1
session_20250326_204905,124,0,262,0.1
session_20250326_204905,125,0,262,0.1
session_20250326_204905,126,0,262,0.1
session_20250326_204905,127,0,262,0.1
session_20250326_204905,128,0,262,0.1
session_20250326_204905,129,0,262,0.1
session_20250326_204905,130,0,262,0.1
session_20250326_204905,131,0,262,0.1
session_20250326_204905,132,0,0,0.1
session_20250326_204905,133,0,0,0.1
session_20250326_204905,134,0,0,0.1
session_20250326_204905,135,0,0,0.1
session_20250326_204905,136,0,0,0.1
session_20250326_204905,137,0,0,0.1
